county,per_capita_income,population_density,pop_without_a2i,urban_pop_density,rural_pop_density,gt_50_internet,median_dl_speed,median_ul_speed,upper_quartile_dl,upper_quartile_ul,lower_quartile_dl,lower_quartile_ul,party_won
alabama_autauga_county,24644.0,99.21,22.0,1768.82,42.144,1,14.779489999999997,1.9536133333333332,28.42155,2.7246099999999998,1.16667,0.39453000000000005,0.7343578930294797
alabama_baldwin_county,26851.0,128.37,27.0,1117.57,57.575,1,2.5622333333333334,1.342395,4.780206666666667,2.105323333333333,1.2834166666666669,0.5043816666666667,0.773514719948985
alabama_barbour_county,17350.0,29.563,51.0,1264.44,20.09,1,3.84544,0.37782,4.755822,0.776686,2.3995200000000003,0.320048,0.5227141482194417
alabama_bibb_county,18110.0,37.203,98.0,1022.8,25.512,1,1.9423849999999998,0.5804050000000001,8.913085,1.6328150000000001,1.18994,0.34131,0.7696616369455875
alabama_blount_county,20501.0,93.378,46.0,1421.62,84.672,1,3.1768539999999996,0.737572,7.788929999999999,1.0083860000000002,2.715716,0.655246,0.8985187519697447
alabama_bullock_county,17706.0,16.459,100.0,1052.9,8.25,1,7.305595,0.75,9.84717,0.94224,6.073239999999999,0.66699,0.24228887470750904
alabama_butler_county,18115.0,25.751,50.0,1478.71,18.126,1,1.87725,0.6455266666666666,3.0772633333333332,1.07887,1.06674,0.32558333333333334,0.5631548647092689
alabama_calhoun_county,21306.0,197.608,9.0,971.596,77.928,1,2.671516,0.500434,4.505522000000001,0.9957940000000001,1.6202940000000001,0.39218800000000004,0.6923969942586964
alabama_chambers_county,21240.0,52.906,17.0,765.925,26.69,1,7.196076666666667,1.04743,13.498373333333333,1.1410866666666666,1.9166433333333333,0.7242866666666666,0.5663376397154885
alabama_cherokee_county,22234.0,45.906,60.0,360.954,39.993,1,1.7593450000000002,0.487595,2.69727,0.6792,0.828125,0.387205,0.8387127487384557
alabama_chilton_county,21718.0,64.586,75.0,858.937,56.853,1,1.4477600000000002,0.360875,3.3579099999999995,0.518555,0.7944349999999999,0.25049,0.8254176937825254
alabama_choctaw_county,21268.0,13.603,85.0,0.0,13.603,1,1.9659900000000001,0.56934,2.454105,0.8208,0.58684,0.4324,0.5643918547055586
alabama_clarke_county,20022.0,19.376,48.0,808.214,14.856,1,1.3838650000000001,0.6066900000000001,2.79102,0.9091800000000001,0.782575,0.59451,0.5495516388373531
alabama_clay_county,18957.0,21.294,63.0,0.0,21.294,1,1.0259866666666666,0.6236100000000001,1.493453333333333,1.2930033333333333,0.5628833333333333,0.5868300000000001,0.795800365185636
alabama_cleburne_county,19736.0,26.763,100.0,0.0,26.763,1,1.5810333333333333,0.4028333333333333,2.7080066666666665,0.6500666666666667,1.0348300000000001,0.29069000000000006,0.8784445805266381
alabama_coffee_county,24204.0,78.121,13.0,1327.85,37.256,1,3.233076666666667,1.09316,16.20508,3.2972,1.2548833333333334,0.31184666666666666,0.7714619997075025
alabama_colbert_county,21763.0,89.113,23.0,1109.81,41.336,1,5.073765,1.9163199999999998,11.1381825,2.7985825,2.028945,0.57468,0.6788759847315845
alabama_conecuh_county,15441.0,14.169,68.0,1107.0,11.383,0,0.54004,0.31055,0.9375,0.53223,0.03613,0.05371,0.5216261653675683
alabama_coosa_county,17749.0,16.286,21.0,0.0,16.286,1,1.248535,0.45777,14.46826,2.00439,0.541015,0.234865,0.6463718169634309
alabama_covington_county,20941.0,35.669,98.0,1097.2,25.244,1,2.7408900000000003,0.6805033333333332,4.032993333333334,1.0837766666666668,1.88643,0.3427766666666667,0.8358831710709318
alabama_crenshaw_county,20366.0,21.538,43.0,0.0,21.538,1,5.745143333333332,2.72247,10.183426666666668,3.6406000000000005,2.236453333333333,1.4858200000000004,0.7215291106845809
alabama_cullman_county,21105.0,112.541,27.0,885.587,85.576,1,3.917081666666667,1.6936683333333338,6.490874999999999,2.2674683333333334,2.0476333333333336,1.3336366666666668,0.878105048554107
alabama_dale_county,22368.0,88.413,9.0,821.858,47.152,1,3.4883025,2.25867,6.43164,2.5381925,1.9848500000000002,1.8908325,0.7411505613149272
alabama_dallas_county,17614.0,43.31,17.0,1407.96,19.364,1,5.117676666666667,3.2130333333333336,12.947593333333336,6.423500000000001,0.5662833333333334,0.33366,0.30880939668980245
alabama_dekalb_county,18416.0,91.719,16.0,1639.44,83.055,1,10.676820000000001,4.343772,15.909117999999998,5.263584,5.576944,2.81171,0.8348922793835774
alabama_elmore_county,24185.0,137.775,12.0,1185.36,77.791,1,3.04258,1.366114,6.682976000000001,1.857526,1.363384,0.9732420000000002,0.7483809781872375
alabama_escambia_county,16673.0,38.51,39.0,1182.74,24.732,1,2.2981,0.56545,5.456545,1.34169,1.461475,0.19434,0.6758693222901466
alabama_etowah_county,20445.0,193.16,8.0,867.353,84.937,1,6.76056,1.2998920000000003,10.706632,2.307778,4.659014000000001,1.1544180000000002,0.7391084326263974
alabama_fayette_county,19040.0,25.186,100.0,1136.08,20.176,1,1.2206666666666666,0.61472,1.85218,0.6977266666666667,0.7252233333333334,0.4233133333333334,0.818081991215227
